sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,brand,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,fabric_care,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,primary_colour,required_options,short_description,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
10001-brightwhite-m,,Default,simple,Men,"Default Category",base,Nike,,,,"2015-11-11 21:48:23",,,,,"Full description for ""Real Madrid Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Real Madrid Men's Casual"" coming soon...","Real Madrid Men's Casual","Real Madrid Men's Casual",,,,,"Real Madrid Men's Casual",,,"Product Info Column",,4.9900,white,0,"Full description for ""Real Madrid Men's Casual"" coming soon...",M,,,,,,1,4,,,"2015-11-11 21:48:23",real-madrid-men-s-casual,real-madrid-men-s-casual.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002-offwhite-s,,Default,simple,Men,"Default Category",base,Adidas,,,,"2015-11-11 21:48:24",,,,,"Full description for ""Real Madrid Men's Tennis"" coming soon...",,,,0,,,,,"Full description for ""Real Madrid Men's Tennis"" coming soon...","Real Madrid Men's Tennis","Real Madrid Men's Tennis",,,,,"Real Madrid Men's Tennis",,,"Product Info Column",,9.9900,white,0,"Full description for ""Real Madrid Men's Tennis"" coming soon...",S,,,,,,1,4,,,"2015-11-11 21:48:24",real-madrid-men-s-tennis,real-madrid-men-s-tennis.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002-offwhite-m,,Default,simple,Men,"Default Category",base,Adidas,,,,"2015-11-11 21:48:24",,,,,"Full description for ""Real Madrid Men's Tennis"" coming soon...",,,,0,,,,,"Full description for ""Real Madrid Men's Tennis"" coming soon...","Real Madrid Men's Tennis","Real Madrid Men's Tennis",,,,,"Real Madrid Men's Tennis",,,"Product Info Column",,9.9900,white,0,"Full description for ""Real Madrid Men's Tennis"" coming soon...",M,,,,,,1,4,,,"2015-11-11 21:48:24",real-madrid-men-s-tennis,real-madrid-men-s-tennis-3.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002-offwhite-l,,Default,simple,Men,"Default Category",base,Adidas,,,,"2015-11-11 21:48:24",,,,,"Full description for ""Real Madrid Men's Tennis"" coming soon...",,,,0,,,,,"Full description for ""Real Madrid Men's Tennis"" coming soon...","Real Madrid Men's Tennis","Real Madrid Men's Tennis",,,,,"Real Madrid Men's Tennis",,,"Product Info Column",,9.9900,white,0,"Full description for ""Real Madrid Men's Tennis"" coming soon...",L,,,,,,1,4,,,"2015-11-11 21:48:24",real-madrid-men-s-tennis,real-madrid-men-s-tennis-4.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002-darkcharcoal-s,,Default,simple,Men,"Default Category",base,Adidas,,,,"2015-11-11 21:48:24",,,,,"Full description for ""Real Madrid Men's Tennis"" coming soon...",,,,0,,,,,"Full description for ""Real Madrid Men's Tennis"" coming soon...","Real Madrid Men's Tennis","Real Madrid Men's Tennis",,,,,"Real Madrid Men's Tennis",,,"Product Info Column",,9.9900,black,0,"Full description for ""Real Madrid Men's Tennis"" coming soon...",S,,,,,,1,4,,,"2015-11-11 21:48:24",real-madrid-men-s-tennis,real-madrid-men-s-tennis-5.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002-darkcharcoal-m,,Default,simple,Men,"Default Category",base,Adidas,,,,"2015-11-11 21:48:24",,,,,"Full description for ""Real Madrid Men's Tennis"" coming soon...",,,,0,,,,,"Full description for ""Real Madrid Men's Tennis"" coming soon...","Real Madrid Men's Tennis","Real Madrid Men's Tennis",,,,,"Real Madrid Men's Tennis",,,"Product Info Column",,9.9900,black,0,"Full description for ""Real Madrid Men's Tennis"" coming soon...",M,,,,,,1,4,,,"2015-11-11 21:48:24",real-madrid-men-s-tennis,real-madrid-men-s-tennis-6.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002-darkcharcoal-l,,Default,simple,Men,"Default Category",base,Adidas,,,,"2015-11-11 21:48:24",,,,,"Full description for ""Real Madrid Men's Tennis"" coming soon...",,,,0,,,,,"Full description for ""Real Madrid Men's Tennis"" coming soon...","Real Madrid Men's Tennis","Real Madrid Men's Tennis",,,,,"Real Madrid Men's Tennis",,,"Product Info Column",,9.9900,black,0,"Full description for ""Real Madrid Men's Tennis"" coming soon...",L,,,,,,1,4,,,"2015-11-11 21:48:24",real-madrid-men-s-tennis,real-madrid-men-s-tennis-7.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
